case	log	first_owner_lane	evidence_ref	diagnostic_key	move_shape	first_missing_fact	notes
src/20020402-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020402-1.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020402-1.c/case.log:6-22	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=2;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;destination_type=ptr;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	prepared_move_type_authority	Current prepared facts omit source or destination type detail required before RV64 can lower the move safely.
src/20020506-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020506-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020506-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i8;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20020508-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20020508-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-2.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-2.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20020508-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-3.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-3.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20020510-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020510-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020510-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i8;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20030105-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20030105-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20030105-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20040218-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040218-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040218-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i16;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20040309-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040309-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040309-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i16;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20040629-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040629-1.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040629-1.c/case.log:6-19	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=rematerializable_immediate;destination_home_kind=rematerializable_immediate;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/rematerializable_immediate_to_rematerializable_immediate	prepared_destination_home_shape_authority	Reason says register-to-stack but the current destination home is not a stack slot, so prepared destination authority is first.
src/20040705-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040705-1.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040705-1.c/case.log:6-19	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=rematerializable_immediate;destination_home_kind=rematerializable_immediate;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/rematerializable_immediate_to_rematerializable_immediate	prepared_destination_home_shape_authority	Reason says register-to-stack but the current destination home is not a stack slot, so prepared destination authority is first.
src/20040705-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040705-2.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040705-2.c/case.log:6-19	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=rematerializable_immediate;destination_home_kind=rematerializable_immediate;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/rematerializable_immediate_to_rematerializable_immediate	prepared_destination_home_shape_authority	Reason says register-to-stack but the current destination home is not a stack slot, so prepared destination authority is first.
src/20041114-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20041114-1.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20041114-1.c/case.log:6-19	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_stack_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=rematerializable_immediate;destination_home_kind=rematerializable_immediate;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_stack_to_stack/rematerializable_immediate_to_rematerializable_immediate	prepared_move_classification_or_source_home_authority	Reason says stack-to-stack but the current published home is not stack-slot to stack-slot, so prepared authority must be clarified first.
src/20050106-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20050106-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20050106-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i16;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20050125-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20050125-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20050125-1.c/case.log:6-22	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=2;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=ptr;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20050215-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20050215-1.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20050215-1.c/case.log:6-17	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;destination_type=i64;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	prepared_move_type_authority	Current prepared facts omit source or destination type detail required before RV64 can lower the move safely.
src/20050502-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20050502-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20050502-1.c/case.log:6-18	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i8;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20051012-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20051012-1.c/case.log	prepared_module_target_shape_authority_gap	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20051012-1.c/case.log:6-19	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=1;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=rematerializable_immediate;destination_home_kind=rematerializable_immediate;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/rematerializable_immediate_to_rematerializable_immediate	prepared_destination_home_shape_authority	Reason says register-to-stack but the current destination home is not a stack slot, so prepared destination authority is first.
src/20060102-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20060102-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20060102-1.c/case.log:6-21	event_kind=pre_terminator_copies;phase=block_entry;authority=out_of_ssa_parallel_copy;move_count=1;parallel_copy=yes;reason=phi_join_register_to_register;destination_kind=value;destination_storage=register;source_home_kind=rematerializable_immediate;destination_home_kind=register;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	block_entry/out_of_ssa_parallel_copy/phi_join_register_to_register/rematerializable_immediate_to_register	rv64_generic_move_bundle_materialization	Current log publishes concrete phi move coordinate, homes, scalar types, and generic materialization failure.
src/20060905-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20060905-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20060905-1.c/case.log:6-28	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=3;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i64;destination_type=i8;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20060910-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20060910-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20060910-1.c/case.log:6-22	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=2;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=ptr;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
src/20061101-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20061101-1.c/case.log	coherent_rv64_mir_materialization	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20061101-1.c/case.log:6-22	event_kind=before_instruction_copies;phase=before_instruction;authority=none;move_count=2;parallel_copy=no;reason=consumer_register_to_stack;destination_kind=value;destination_storage=stack_slot;source_home_kind=register;destination_home_kind=stack_slot;source_type=i32;destination_type=i32;fragment_status=generic_move_bundle_materialization_failed	before_instruction/authority_none/consumer_register_to_stack/register_to_stack_slot	rv64_generic_move_bundle_materialization	Current log publishes concrete coordinate, value ids, compatible homes, scalar types, and generic materialization failure; no F128 token is present.
