case	log	event_kind	phase	authority	parallel_copy	execution_site	destination_storage	source_storage	move_reason	move_count	first_owner	coherence_family	authority_disposition
src/20000422-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000422-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	3	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000503-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000503-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	edge_consumer_preservation_register_to_register	3	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20000511-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000511-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	edge_consumer_preservation_register_to_register	2	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20000528-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000528-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000605-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000605-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000717-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000717-3.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000726-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000726-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000801-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000801-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000801-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000801-2.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20000808-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000808-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20000815-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000815-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000818-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000818-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	edge_consumer_preservation_register_to_register	2	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20000910-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000910-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	3	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20000914-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20000914-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20001009-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001009-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20001013-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001013-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20001017-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001017-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20001130-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001130-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	3	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20001130-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20001130-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20010224-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20010224-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	3	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20010518-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20010518-2.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20010604-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20010604-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20011126-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20011126-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20011219-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20011219-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020107-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020107-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020129-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020129-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020201-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020201-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020216-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020216-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020226-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020226-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020402-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020402-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020402-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020402-3.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020506-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020506-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020508-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020508-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020508-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020508-3.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020510-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020510-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020615-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020615-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20020911-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20020911-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20021111-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20021111-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20021118-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20021118-3.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	edge_consumer_preservation_register_to_register	2	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20021120-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20021120-3.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20030105-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20030105-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20030117-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20030117-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20030222-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20030222-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20030313-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20030313-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20030626-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20030626-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20031010-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20031010-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20031011-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20031011-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20031204-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20031204-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_stack_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040218-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040218-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040307-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040307-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040309-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040309-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	phi_join_register_to_register	1	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20040319-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040319-1.c/case.log	pre_terminator_copies	block_entry	out_of_ssa_parallel_copy	yes	predecessor_terminator	register	<not_reported>	edge_consumer_preservation_register_to_register	2	rv64_out_of_ssa_parallel_copy_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_parallel_copy_authority
src/20040331-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040331-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	1	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040409-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040409-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040409-1w.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040409-1w.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040409-2.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040409-2.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040409-2w.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040409-2w.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040409-3.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040409-3.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040409-3w.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040409-3w.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
src/20040625-1.c	/workspaces/c4c/build/rv64_gcc_c_torture_backend/src_20040625-1.c/case.log	before_instruction_copies	before_instruction	none	no	<not_applicable>	stack_slot	<not_reported>	consumer_register_to_stack	2	rv64_before_instruction_prepared_move_materialization	coherent_prepared_authority_unlowered_rv64	complete_ordinary_move_bundle_authority
